1;2
001;1;0
002;0;1
003;0;1
004;0;1
005;0;1
006;1;0
007;0;1
008;0;1
009;1;0
010;1;0
011;0;1
012;1;0
013;1;0
014;1;0
015;0;1
016;1;0
017;1;0
018;1;0
019;1;0
020;0;1
021;0;1
022;1;0
023;1;0
024;1;0
025;1;0
026;1;0
027;1;0
028;0;1
029;1;0
030;0;1
031;1;0
032;0;1
033;1;0
034;1;0
035;0;1
036;1;0
037;1;0
038;1;0
039;0;1
040;1;0
041;1;0
042;1;0
043;1;0
044;0;1
045;0;1
046;0;1
047;0;1
048;1;0
049;1;0
050;1;0
051;0;1
052;1;0
053;0;1
054;1;0
055;0;1
056;1;0
057;0;1
058;1;0
059;1;0
060;0;1
061;0;1
062;0;1
063;1;0
064;1;0
065;0;1
066;0;1
067;1;0
068;0;1
069;1;0
070;0;1
071;1;0
072;1;0
073;1;0
074;1;0
075;1;0
076;1;0
077;1;0
078;0;1
079;0;1
080;1;0
081;0;1
082;0;1
083;1;0
084;0;1
085;1;0
086;0;1
087;0;1
088;1;0
089;1;0
090;1;0
091;0;1
092;1;0
093;1;0
094;0;1
095;0;1
096;0;1
097;1;0
098;0;1
099;1;0
100;1;0
101;1;0
102;1;0
103;1;0
104;1;0
105;1;0
106;1;0
107;0;1
108;0;1
109;0;1
110;0;1
111;0;1
112;0;1
113;1;0
114;1;0
115;1;0
116;1;0
117;1;0
118;1;0
119;0;1
120;1;0
121;0;1
122;1;0
123;0;1
124;1;0
125;1;0
126;0;1
127;1;0
128;0;1
129;0;1
130;0;1
131;0;1
132;0;1
133;1;0
134;0;1
135;1;0
136;0;1
137;1;0
138;1;0
139;1;0
140;0;1
141;1;0
142;1;0
143;1;0
144;0;1
145;0;1
146;0;1
147;1;0
148;0;1
149;0;1
150;0;1
151;1;0
152;0;1
153;0;1
154;0;1
155;0;1
156;0;1
157;1;0
158;1;0
159;0;1
160;0;1
161;1;0
162;1;0
163;1;0
164;1;0
165;0;1
166;0;1
167;1;0
168;0;1
169;0;1
170;0;1
171;0;1
172;0;1
173;0;1
174;1;0
175;1;0
176;0;1
177;0;1
178;0;1
179;0;1
180;1;0
181;0;1
182;0;1
183;0;1
184;0;1
185;1;0
186;0;1
187;1;0
188;0;1
189;0;1
190;1;0
191;0;1
192;1;0
193;0;1
194;1;0
195;1;0
196;0;1
197;1;0
198;0;1
199;1;0
200;1;0
201;1;0
202;1;0
203;0;1
204;0;1
205;0;1
206;0;1
207;0;1
208;1;0
209;0;1
210;0;1
211;0;1
212;1;0
213;0;1
214;0;1
215;1;0
216;1;0
217;1;0
218;1;0
219;1;0
220;1;0
221;1;0
222;0;1
223;0;1
224;0;1
225;0;1
226;1;0
227;0;1
228;1;0
229;0;1
230;0;1
231;1;0
232;0;1
233;0;1
234;1;0
235;1;0
236;1;0
237;0;1
238;1;0
239;1;0
240;0;1
241;1;0
242;1;0
243;0;1
244;0;1
245;1;0
246;1;0
247;0;1
248;1;0
249;0;1
250;1;0
251;1;0
252;1;0
253;1;0
254;0;1
255;1;0
256;1;0
257;0;1
258;0;1
259;0;1
260;1;0
261;1;0
262;0;1
263;1;0
264;1;0
265;1;0
266;0;1
267;0;1
268;0;1
269;0;1
270;0;1
271;1;0
272;1;0
273;0;1
274;0;1
275;0;1
276;0;1
277;0;1
278;0;1
279;1;0
280;0;1
281;0;1
282;1;0
283;0;1
284;0;1
285;0;1
286;0;1
287;1;0
288;1;0
289;0;1
290;0;1
291;0;1
292;0;1
293;1;0
294;0;1
295;0;1
296;0;1
297;0;1
298;1;0
299;0;1
300;0;1
301;0;1
302;0;1
303;0;1
304;1;0
305;0;1
306;0;1
307;0;1
308;1;0
309;0;1
310;0;1
311;0;1
312;1;0
313;0;1
314;0;1
315;1;0
316;0;1
317;0;1
318;1;0
319;0;1
320;1;0
321;0;1
322;0;1
323;1;0
324;1;0
325;0;1
326;0;1
327;0;1
328;0;1
329;1;0
330;0;1
331;1;0
332;0;1
333;1;0
334;0;1
335;0;1
336;1;0
337;1;0
338;0;1
339;1;0
340;1;0
341;1;0
342;0;1
343;0;1
344;0;1
345;1;0
346;0;1
347;1;0
348;0;1
349;0;1
350;1;0
351;0;1
352;0;1
353;1;0
354;1;0
355;1;0
356;1;0
357;0;1
358;0;1
359;1;0
360;1;0
361;1;0
362;1;0
363;1;0
364;1;0
365;0;1
366;0;1
367;1;0
368;1;0
369;1;0
370;0;1
371;1;0
372;0;1
373;1;0
374;1;0
375;0;1
376;0;1
377;0;1
378;1;0
379;1;0
380;1;0
381;1;0
382;1;0
383;1;0
384;0;1
385;0;1
386;0;1
387;0;1
388;0;1
389;1;0
390;0;1
391;1;0
392;1;0
393;1;0
394;0;1
395;1;0
396;0;1
397;0;1
398;0;1
399;0;1
400;0;1
401;0;1
402;1;0
403;1;0
404;0;1
405;0;1
406;1;0
407;0;1
408;0;1
409;1;0
410;0;1
411;1;0
412;1;0
413;1;0
414;1;0
415;1;0
416;1;0
417;1;0
418;0;1
419;1;0
420;1;0
421;0;1
422;1;0
423;0;1
424;1;0
425;0;1
426;1;0
427;1;0
428;1;0
429;0;1
430;0;1
431;1;0
432;1;0
433;0;1
434;1;0
435;1;0
436;1;0
437;1;0
438;0;1
439;0;1
440;1;0
441;0;1
442;1;0
443;0;1
444;1;0
445;1;0
446;1;0
447;1;0
448;1;0
449;1;0
450;1;0
